Launch_status,Title,Country,Prog_name,Launch_datetime,Launcher_name,Status,Price(million),Liftoff_Thrust(kN),Payload_to_LEO(kg),Payload_to_GTO(kg),Rocket_Height(m),Fairing_Diameter(m),Fairing_Height(m),Cross_Join
Success,LongMarch2C|MUST-1A/B&Luojia-201, China,MUST-1A/B & Luojia-2 01,5/21/23 8:00,CASC,Active,$30.80 ,"2,962","2,500","1,000",34.65,3.35,5.84,1
Success,Falcon9Block5|Iridium-9&OneWeb#19, USA,Iridium-9 & OneWeb #19,5/20/23 13:16,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup6-3, USA,Starlink Group 6-3,5/19/23 6:19,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch3B/E|Beidou-3G4, China,Beidou-3 G4,5/17/23 2:49,CASC,Active,$29.15 ,"5,986","11,500","5,550",56.3,4.2,9.56,1
Success,Falcon9Block5|StarlinkGroup5-9, USA,Starlink Group 5-9,5/14/23 5:03,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup2-9, USA,Starlink Group 2-9,5/10/23 20:09,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch7|Tianzhou6, China,Tianzhou 6,5/10/23 13:22,CASC,Active,0,"7,128","13,500","5,500",53.1,4.2,12.4,1
Success,Electron/Curie|TROPICSFlight2:RocketLikeAHurricane, New Zealand,TROPICS Flight 2: Rocket Like A Hurricane,5/8/23 1:00,Rocket Lab,Active,$7.50 ,225,320,NA,17,1.2,2.5,1
Success,Falcon9Block5|StarlinkGroup5-6, USA,Starlink Group 5-6,5/4/23 7:31,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,FalconHeavy|ViaSat-3Americas&Others, USA,ViaSat-3 Americas & Others,5/1/23 0:26,SpaceX,Active,$97.00 ,"22,819","63,800","26,700",70,5.2,13,1
Success,Falcon9Block5|O3bmPOWER3&4, USA,O3b mPOWER 3 & 4,4/28/23 22:12,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup3-5, USA,Starlink Group 3-5,4/27/23 13:40,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,SpaceShipTwo|Unity24, USA,Unity 24,4/26/23 13:47,Virgin Galactic,Active,0,NA,0,0,NA,NA,NA,1
Success,PSLV-CA|TeLEOS-2&Others, India,TeLEOS-2 & Others,4/22/23 8:50,ISRO,Active,$21.00 ,"4,847",NA,NA,44,3.2,8.3,1
Failure,Starship-SuperHeavy(Prototype)|StarshipFlightTest, USA,Starship Flight Test,4/20/23 13:33,SpaceX,Active,0,"74,432",NA,NA,120,9,NA,1
Success,Falcon9Block5|StarlinkGroup6-2, USA,Starlink Group 6-2,4/19/23 14:31,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch4B|Fengyun-3G, China,Fengyun-3G,4/16/23 1:36,CASC,Active,$64.68 ,"2,993","4,200","1,500",46.97,3.8,11.74,1
Success,Falcon9Block5|Transporter7, USA,Transporter 7,4/15/23 6:48,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Ariane5ECA|JUICE(JupiterIcyMoonsExplorer), France,JUICE (Jupiter Icy Moons Explorer),4/14/23 12:14,Arianespace,Active,$200.00 ,"15,120","21,000","10,500",53,5.4,17,1
Success,Falcon9Block5|Intelsat40e/TEMPO, USA,Intelsat 40e/TEMPO,4/7/23 4:30,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Hyperbola-1|DummyPayload, China,Dummy Payload,4/7/23 4:00,i-Space,Active,0,557,300,0,21,1.2,2.2,1
Success,"Falcon9Block5|Transport&TrackingLayer(Tranche0,Flight1)", USA,"Transport & Tracking Layer (Tranche 0, Flight 1)",4/2/23 14:29,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Tianlong-2|DemoFlight, China,Demo Flight,4/2/23 8:48,Space Pioneer,Active,0,"1,863","2,000",NA,32.8,3.35,NA,1
Success,LongMarch4C|Yaogan34-04, China,Yaogan 34-04,3/31/23 6:27,CASC,Active,$64.68 ,"2,993","4,200","1,500",46.97,3.8,11.74,1
Success,LongMarch2D|PIESAT-1x4, China,PIESAT-1 x 4,3/30/23 10:50,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Success,Falcon9Block5|StarlinkGroup5-10, USA,Starlink Group 5-10,3/29/23 20:01,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Soyuz2.1v|Cosmos2568, Russia,Cosmos 2568,3/29/23 19:57,VKS RF,Active,0,"1,535","3,000",0,44.08,3,8.36,1
Success,Shavit-2|Ofek-13, Israel,Ofek-13,3/28/23 23:10,IAI,Active,0,554,350,NA,22,1.35,4.37,1
Success,LVM-3|OneWeb#18, India,OneWeb #18,3/26/23 3:30,ISRO,Active,$62.00 ,"11,898","10,000","4,000",43.4,5,NA,1
Success,Falcon9Block5|StarlinkGroup5-5, USA,Starlink Group 5-5,3/24/23 15:43,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Electron/Curie|TheBeatGoesOn, New Zealand,The Beat Goes On,3/24/23 9:14,Rocket Lab,Active,$7.50 ,225,320,NA,17,1.2,2.5,1
Success,Soyuz2.1a|Cosmos2567, Russia,Cosmos 2567,3/23/23 6:40,VKS RF,Active,$17.42 ,"4,550","7,500",0,51.38,4.11,15.59,1
Failure,"Terran1|GoodLuck,HaveFun", USA,"Good Luck, Have Fun",3/23/23 3:25,Relativity Space,Retired,$12.00 ,920,"1,250",NA,35,NA,NA,1
Success,Kuaizhou1A|Tianmu-103-06, China,Tianmu-1 03-06,3/22/23 9:09,ExPace,Active,$5.80 ,537,300,0,19.8,1.4,3.4,1
Success,Falcon9Block5|SES-18&SES-19, USA,SES-18 & SES-19,3/17/23 23:38,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup2-8, USA,Starlink Group 2-8,3/17/23 19:26,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch3B/E|Gaofen-13-02, China,Gaofen-13-02,3/17/23 8:33,CASC,Active,$29.15 ,"5,986","11,500","5,550",56.3,4.2,9.56,1
Success,Electron/Curie|StrongerTogether, USA,Stronger Together,3/16/23 22:38,Rocket Lab,Active,$7.50 ,225,320,NA,17,1.2,2.5,1
Success,LongMarch11|Shiyan19, China,Shiyan 19,3/15/23 11:41,CASC,Active,$5.30 ,"1,176",530,2,20.8,2,5,1
Success,Falcon9Block5|CRSSpX-27, USA,CRS SpX-27,3/15/23 0:30,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch2C|Horus2, China,Horus 2,3/13/23 4:02,CASC,Active,$30.80 ,"2,962","2,500","1,000",34.65,3.35,5.84,1
Success,Proton-M/Briz-M|Luch-5X(Olymp-K2), Kazakhstan,Luch-5X (Olymp-K 2),3/12/23 23:13,VKS RF,Active,$65.00 ,"10,027","21,000","6,900",58.18,4.35,15.26,1
Success,LongMarch4C|Tianhui-6A/B, China,Tianhui-6 A/B,3/9/23 22:41,CASC,Active,$64.68 ,"2,993","4,200","1,500",46.97,3.8,11.74,1
Success,Falcon9Block5|OneWeb#17, USA,OneWeb #17,3/9/23 19:13,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Failure,H3-22|ALOS-3, Japan,ALOS-3,3/7/23 1:37,MHI,Active,$50.00 ,"7,542",NA,"4,000",63,5.27,10.3,1
Success,Falcon9Block5|StarlinkGroup2-7, USA,Starlink Group 2-7,3/3/23 18:38,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|SpaceXCrew-6, USA,SpaceX Crew-6,3/2/23 5:34,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup6-1, USA,Starlink Group 6-1,2/27/23 23:13,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch2C|Horus1, China,Horus 1,2/24/23 4:01,CASC,Active,$30.80 ,"2,962","2,500","1,000",34.65,3.35,5.84,1
Success,Soyuz2.1a|SoyuzMS-23, Kazakhstan,Soyuz MS-23,2/24/23 0:24,Roscosmos,Active,$17.42 ,"4,550","7,500",0,51.38,4.11,15.59,1
Success,LongMarch3B/E|ChinaSat26, China,ChinaSat 26,2/23/23 11:49,CASC,Active,$29.15 ,"5,986","11,500","5,550",56.3,4.2,9.56,1
Success,Falcon9Block5|InmarsatI-6F2, USA,Inmarsat I-6 F2,2/18/23 3:59,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup2-5, USA,Starlink Group 2-5,2/17/23 19:12,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup5-4, USA,Starlink Group 5-4,2/12/23 5:10,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,SSLV|EOS-07&Others, India,EOS-07 & Others,2/10/23 3:48,ISRO,Active,0,NA,500,NA,34,2,NA,1
Success,Soyuz2.1a|ProgressMS-22, Kazakhstan,Progress MS-22,2/9/23 6:15,Roscosmos,Active,$17.42 ,"4,550","7,500",0,51.38,4.11,15.59,1
Success,Falcon9Block5|AmazonasNexus, USA,Amazonas Nexus,2/7/23 1:32,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Proton-M/DM-3|Elektro-Ln°4, Kazakhstan,Elektro-L n°4,2/5/23 9:12,Roscosmos,Active,$65.00 ,"10,027","21,000","6,000",57.24,4.35,10,1
Success,Falcon9Block5|StarlinkGroup5-3, USA,Starlink Group 5-3,2/2/23 7:58,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup2-6&IONSCV009, USA,Starlink Group 2-6 & ION SCV009,1/31/23 16:15,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|StarlinkGroup5-2, USA,Starlink Group 5-2,1/26/23 9:32,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,H-IIA202|IGSRadar-7, Japan,IGS Radar-7,1/26/23 1:50,MHI,Active,$90.00 ,NA,"10,000","4,100",53,4.07,12,1
Success,Electron/Curie|VirginiaisforLaunchLovers, USA,Virginia is for Launch Lovers,1/24/23 23:00,Rocket Lab,Active,$7.50 ,225,320,NA,17,1.2,2.5,1
Success,Falcon9Block5|StarlinkGroup2-4, USA,Starlink Group 2-4,1/19/23 15:43,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|GPSIII-6, USA,GPS III-6,1/18/23 12:24,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,FalconHeavy|USSF-67, USA,USSF-67,1/15/23 22:56,SpaceX,Active,$97.00 ,"22,819","63,800","26,700",70,5.2,13,1
Success,"LongMarch2D|6xJilin-1,Qilu-2/3andothers", China,"6 x Jilin-1, Qilu-2/3 and others",1/15/23 3:14,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Success,LongMarch2D|Yaogan37&Shiyan22A/B, China,Yaogan 37 & Shiyan 22A/B,1/13/23 7:00,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Success,LongMarch2C|APStar6E, China,APStar 6E,1/12/23 18:10,CASC,Active,$30.80 ,"2,962","2,500","1,000",34.65,3.35,5.84,1
Failure,RS1|DEMO-1(TestLaunch), USA,DEMO-1 (Test Launch),1/10/23 23:27,ABL SS,Active,$12.00 ,485,"1,350",320,26.8,2,NA,1
Success,Falcon9Block5|OneWeb#16, USA,OneWeb #16,1/10/23 4:50,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Failure,LauncherOne|StartMeUp, United Kingdom,Start Me Up,1/9/23 23:08,Virgin Orbit,Retired,$12.00 ,NA,500,NA,16,1.3,NA,1
Success,Ceres-1|GiveMeFive, China,Give Me Five,1/9/23 5:04,Galactic Energy,Active,$4.90 ,588,400,0,19,1.4,2.5,1
Success,LongMarch7A|Shijian23, China,Shijian 23,1/8/23 22:00,CASC,Active,0,"7,128","12,000","7,000",58,4.2,12.4,1
Success,Falcon9Block5|Transporter6, USA,Transporter 6,1/3/23 14:55,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|EROS-C3, USA,EROS-C3,12/30/22 7:38,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch3B/E|Shiyan10-02, China,Shiyan 10-02,12/29/22 4:43,CASC,Active,$29.15 ,"5,986","11,500","5,550",56.3,4.2,9.56,1
Success,Falcon9Block5|StarlinkGroup5-1, USA,Starlink Group 5-1,12/28/22 9:34,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch4B|Gaofen-1104, China,Gaofen-11 04,12/27/22 7:37,CASC,Active,$64.68 ,"2,993","4,200","1,500",46.97,3.8,11.74,1
Failure,VegaC|Pléïades-Néo5&6, France,Pléïades-Néo 5 & 6,12/21/22 1:47,Arianespace,Active,0,"4,500","2,300",NA,35,3.3,9,1
Success,Falcon9Block5|StarlinkGroup4-37, USA,Starlink Group 4-37,12/17/22 21:32,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|O3bmPOWER1&2, USA,O3b mPOWER 1 & 2,12/16/22 22:48,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|SWOT, USA,SWOT,12/16/22 11:46,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch11|Shiyan21, China,Shiyan 21,12/16/22 6:17,CASC,Active,$5.30 ,"1,176",530,2,20.8,2,5,1
Success,LongMarch2D|Yaogan36Group04, China,Yaogan 36 Group 04,12/14/22 18:25,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Failure,ZhuQue-2|DemoFlight, China,Demo Flight,12/14/22 8:30,Landspace,Active,0,"2,636","6,000",0,49.5,3.35,5,1
Success,"Ariane5ECA|Galaxy35&36,MTG-I1", France,"Galaxy 35 & 36, MTG-I1",12/13/22 20:30,Arianespace,Active,$200.00 ,"15,120","21,000","10,500",53,5.4,17,1
Success,LongMarch4C|Shiyan20A&20B, China,Shiyan 20A & 20B,12/12/22 8:22,CASC,Active,$64.68 ,"2,993","4,200","1,500",46.97,3.8,11.74,1
Success,Falcon9Block5|HAKUTO-RMission1, USA,HAKUTO-R Mission 1,12/11/22 7:38,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Jielong-3|DemoFlight,China,Demo Flight,12/9/22 6:35,CASC,Active,0,NA,"1,500",NA,31,3.35,NA,1
Success,Falcon9Block5|OneWeb#15, USA,OneWeb #15,12/8/22 22:27,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch2D|Gaofen-501A, China,Gaofen-5 01A,12/8/22 18:31,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Success,Kuaizhou11|XingyunVDES, China,Xingyun VDES,12/7/22 1:15,ExPace,Active,$28.30 ,"1,250","1,500",0,25.3,2.2,8.5,1
Success,Soyuz2.1b|Cosmos2565, Russia,Cosmos 2565,11/30/22 21:10,VKS RF,Active,$20.00 ,"4,550","8,020",0,44.08,4.11,8.36,1
Success,LongMarch2F/G|Shenzhou15, China,Shenzhou 15,11/29/22 15:08,CASC,Active,0,"5,985","8,600",0,58.34,3.6,19.11,1
Success,Soyuz2.1b/Fregat-M|Cosmos2564, Russia,Cosmos 2564,11/28/22 15:17,VKS RF,Active,$25.00 ,"4,550","7,500","3,250",46.94,4.11,11.43,1
Success,LongMarch2D|Yaogan36Group03, China,Yaogan 36 Group 03,11/27/22 12:23,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Success,Falcon9Block5|CRSSpX-26, USA,CRS SpX-26,11/26/22 19:20,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,"PSLV-XL|EOS-06,BhutanSat&Others", India,"EOS-06, BhutanSat & Others",11/26/22 6:26,ISRO,Active,$31.00 ,"7,661","3,250","1,410",44,3.2,8.3,1
Success,Falcon9Block5|Eutelsat10B, USA,Eutelsat 10B,11/23/22 2:57,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,SLSBlock1|ArtemisI, USA,Artemis I,11/16/22 6:47,NASA,Active,$876.00 ,"39,440","95,000",NA,98.1,5.1,14.3,1
Success,Ceres-1|YoungForYou, China,Young For You,11/16/22 6:20,Galactic Energy,Active,$4.90 ,588,400,0,19,1.4,2.5,1
Success,LongMarch4C|Yaogan34-03, China,Yaogan 34-03,11/15/22 1:38,CASC,Active,$64.68 ,"2,993","4,200","1,500",46.97,3.8,11.74,1
Success,Falcon9Block5|Galaxy31&32, USA,Galaxy 31 & 32,11/12/22 16:06,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch7|Tianzhou5, China,Tianzhou 5,11/12/22 2:03,CASC,Active,0,"7,128","13,500","5,500",53.1,4.2,12.4,1
Success,LongMarch6A|Yunhai3, China,Yunhai 3,11/11/22 22:52,CASC,Active,0,"7,230","4,000",NA,50,4.2,5.7,1
Success,AtlasV401|JPSS-2, USA,JPSS-2,11/10/22 9:49,ULA,Active,$109.00 ,"3,826","9,797","4,750",58.3,4.2,13.8,1
Success,Antares230+|CRSNG-18, USA,CRS NG-18,11/7/22 10:32,Northrop,Active,$85.00 ,"3,844","8,000",NA,42.5,3.9,9.9,1
Success,LongMarch3B/E|ChinaSat19, China,ChinaSat 19,11/5/22 11:50,CASC,Active,$29.15 ,"5,986","11,500","5,550",56.3,4.2,9.56,1
Success,Electron/Curie|CatchMeIfYouCan, New Zealand,Catch Me If You Can,11/4/22 17:27,Rocket Lab,Active,$7.50 ,225,320,NA,17,1.2,2.5,1
Success,Falcon9Block5|Hotbird13G, USA,Hotbird 13G,11/3/22 5:22,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Soyuz2.1b/Fregat-M|Cosmos2563, Russia,Cosmos 2563,11/2/22 6:48,VKS RF,Active,$25.00 ,"4,550","7,500","3,250",46.94,4.11,11.43,1
Success,FalconHeavy|USSF-44, USA,USSF-44,11/1/22 13:41,SpaceX,Active,$97.00 ,"22,819","63,800","26,700",70,5.2,13,1
Success,LongMarch5B|Mengtian, China,Mengtian,10/31/22 7:37,CASC,Active,0,"10,565","23,000",0,53.66,5.2,20.5,1
Success,LongMarch2D|Shiyan20C, China,Shiyan 20C,10/29/22 1:01,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Success,Falcon9Block5|StarlinkGroup4-31, USA,Starlink Group 4-31,10/28/22 1:14,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Soyuz2.1a|ProgressMS-21, Kazakhstan,Progress MS-21,10/26/22 0:20,Roscosmos,Active,$17.42 ,"4,550","7,500",0,51.38,4.11,15.59,1
Success,Soyuz2.1b/Fregat-M|Goniets-Mn°33Lto35L&Skif-D, Russia,Goniets-M n°33L to 35L & Skif-D,10/22/22 19:57,Roscosmos,Active,$25.00 ,"4,550","7,500","3,250",46.94,4.11,11.43,1
Success,LVM-3|OneWeb#14, India,OneWeb #14,10/22/22 18:37,ISRO,Active,$62.00 ,"11,898","10,000","4,000",43.4,5,NA,1
Success,Soyuz2.1v/Volga|Cosmos2561&2562, Russia,Cosmos 2561 & 2562,10/21/22 19:20,VKS RF,Active,0,"1,535","2,850",0,44.08,3,8.36,1
Success,Falcon9Block5|StarlinkGroup4-36, USA,Starlink Group 4-36,10/20/22 14:50,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Angara1.2|Cosmos2560, Russia,Cosmos 2560,10/15/22 19:55,VKS RF,Active,0,"1,922","3,800",0,42.4,3,9.9,1
Success,Falcon9Block5|Hotbird13F, USA,Hotbird 13F,10/15/22 5:22,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,LongMarch2D|Yaogan36Group02, China,Yaogan 36 Group 02,10/14/22 19:12,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Success,LongMarch2C|5mS-SAR-01, China,5 m S-SAR-01,10/12/22 22:53,CASC,Active,$30.80 ,"2,962","2,500","1,000",34.65,3.35,5.84,1
Success,Proton-M/DM-3|Angosat-2, Kazakhstan,Angosat-2,10/12/22 15:00,Roscosmos,Active,$65.00 ,"10,027","21,000","6,000",57.24,4.35,10,1
Failure,EpsilonPBS|RAISE-3&Others, Japan,RAISE-3 & Others,10/12/22 0:50,JAXA,Active,$39.00 ,"1,612",700,NA,26,2.5,9.19,1
Success,Soyuz2.1b/Fregat-M|Cosmos2559, Russia,Cosmos 2559,10/10/22 2:52,VKS RF,Active,$25.00 ,"4,550","7,500","3,250",46.94,4.11,11.43,1
Success,LongMarch2D|AdvancedSpace-borneSolarObservatory(ASO-S), China,Advanced Space-borne Solar Observatory (ASO-S),10/8/22 23:43,CASC,Active,$29.75 ,"2,962","3,500","1,200",40.77,3.35,7.82,1
Success,Falcon9Block5|Galaxy33&34, USA,Galaxy 33 & 34,10/8/22 23:05,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Electron/Curie|ItArgosUpFromHere, New Zealand,It Argos Up From Here,10/7/22 17:09,Rocket Lab,Active,$7.50 ,225,320,NA,17,1.2,2.5,1
Success,LongMarch11H|CentiSpace-1S5&S6,China,CentiSpace-1 S5 & S6,10/7/22 13:10,CASC,Active,$5.30 ,"1,176",700,0,20.8,2,5,1
Success,Falcon9Block5|StarlinkGroup4-29, USA,Starlink Group 4-29,10/5/22 23:10,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,Falcon9Block5|SpaceXCrew-5, USA,SpaceX Crew-5,10/5/22 16:00,SpaceX,Active,$67.00 ,"7,607","22,800","8,300",70,5.2,13,1
Success,AtlasV531|SES-20&SES-21, USA,SES-20 & SES-21,10/4/22 21:36,ULA,Active,$140.00 ,"8,815","15,530","7,450",62.2,5.4,26.5,1
